wave,prompt_id,label,trajectory_name,generated_index,region,span_type,token_group,fine_role,tags,confidence,role_notes,analysis_group,span_id,char_start,char_end,rule_ids,review_priority,target_token_text
v1_prior9,164,correct,164_correct_seed3004_attempt000005,0,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,0,3,intro_opening_line;default_reasoning_text,none,Let
v1_prior9,164,correct,164_correct_seed3004_attempt000005,1,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,3,4,intro_opening_line;default_reasoning_text,none,'
v1_prior9,164,correct,164_correct_seed3004_attempt000005,2,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,4,5,intro_opening_line;default_reasoning_text,none,s
v1_prior9,164,correct,164_correct_seed3004_attempt000005,3,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,5,11,intro_opening_line;default_reasoning_text,none, break
v1_prior9,164,correct,164_correct_seed3004_attempt000005,4,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,11,16,intro_opening_line;default_reasoning_text,none, this
v1_prior9,164,correct,164_correct_seed3004_attempt000005,5,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,16,24,intro_opening_line;default_reasoning_text,none, problem
v1_prior9,164,correct,164_correct_seed3004_attempt000005,6,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,24,29,intro_opening_line;default_reasoning_text,none, down
v1_prior9,164,correct,164_correct_seed3004_attempt000005,7,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,29,34,intro_opening_line;default_reasoning_text,none, step
v1_prior9,164,correct,164_correct_seed3004_attempt000005,8,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,34,35,intro_opening_line;default_reasoning_text,none,-
v1_prior9,164,correct,164_correct_seed3004_attempt000005,9,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,35,37,intro_opening_line;default_reasoning_text,none,by
v1_prior9,164,correct,164_correct_seed3004_attempt000005,10,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,37,38,intro_opening_line;default_reasoning_text,none,-
v1_prior9,164,correct,164_correct_seed3004_attempt000005,11,intro_planning,reasoning_prose,reasoning_text,entity_word,,0.82,,reasoning_prose,intro_planning:reasoning_prose,38,42,intro_opening_line;default_reasoning_text,none,step
