wave,prompt_id,fixture,label,name,run_id,trajectory_id,gsm8k_index,expected_answer,seed,attempt,generated_token_count,prompt_token_count,shard_count,status_counts_json,all_tokens_ok,trajectory_json,run_root,aggregate_path,per_token_metrics_csv,prefix_audit_json,source_pair_manifest
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,real-prompt-trace-v1-164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,164,15,3004,5,162,97,20,"{""ok"":162}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/164_base/attempt_000005.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/164_correct_seed3004_attempt000005/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,164,164_base,wrong,164_wrong_seed3009_attempt000010,real-prompt-trace-v1-164_wrong_seed3009_attempt000010,164_base_temp08_screen_seed3000_attempt000010,164,15,3009,10,169,97,21,"{""ok"":169}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/164_base/attempt_000010.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_wrong_seed3009_attempt000010/run/real-prompt-trace-v1-164_wrong_seed3009_attempt000010,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_wrong_seed3009_attempt000010/run/real-prompt-trace-v1-164_wrong_seed3009_attempt000010/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_wrong_seed3009_attempt000010/run/real-prompt-trace-v1-164_wrong_seed3009_attempt000010/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/164_wrong_seed3009_attempt000010/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,486,486_base,correct,486_correct_seed3003_attempt000004,real-prompt-trace-v1-486_correct_seed3003_attempt000004,486_base_temp08_screen_seed3000_attempt000004,486,6,3003,4,108,63,9,"{""ok"":108}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/486_base/attempt_000004.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_correct_seed3003_attempt000004/run/real-prompt-trace-v1-486_correct_seed3003_attempt000004,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_correct_seed3003_attempt000004/run/real-prompt-trace-v1-486_correct_seed3003_attempt000004/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_correct_seed3003_attempt000004/run/real-prompt-trace-v1-486_correct_seed3003_attempt000004/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/486_correct_seed3003_attempt000004/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,486,486_base,wrong,486_wrong_seed3000_attempt000001,real-prompt-trace-v1-486_wrong_seed3000_attempt000001,486_base_temp08_screen_seed3000_attempt000001,486,6,3000,1,107,63,9,"{""ok"":107}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/486_base/attempt_000001.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_wrong_seed3000_attempt000001/run/real-prompt-trace-v1-486_wrong_seed3000_attempt000001,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_wrong_seed3000_attempt000001/run/real-prompt-trace-v1-486_wrong_seed3000_attempt000001/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_wrong_seed3000_attempt000001/run/real-prompt-trace-v1-486_wrong_seed3000_attempt000001/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/486_wrong_seed3000_attempt000001/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,642,642_base,correct,642_correct_seed3012_attempt000013,real-prompt-trace-v1-642_correct_seed3012_attempt000013,642_base_temp08_screen_seed3000_attempt000013,642,10800,3012,13,272,98,44,"{""ok"":272}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/642_base/attempt_000013.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_correct_seed3012_attempt000013/run/real-prompt-trace-v1-642_correct_seed3012_attempt000013,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_correct_seed3012_attempt000013/run/real-prompt-trace-v1-642_correct_seed3012_attempt000013/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_correct_seed3012_attempt000013/run/real-prompt-trace-v1-642_correct_seed3012_attempt000013/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/642_correct_seed3012_attempt000013/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,642,642_base,wrong,642_wrong_seed3001_attempt000002,real-prompt-trace-v1-642_wrong_seed3001_attempt000002,642_base_temp08_screen_seed3000_attempt000002,642,10800,3001,2,273,98,44,"{""ok"":273}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/642_base/attempt_000002.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_wrong_seed3001_attempt000002/run/real-prompt-trace-v1-642_wrong_seed3001_attempt000002,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_wrong_seed3001_attempt000002/run/real-prompt-trace-v1-642_wrong_seed3001_attempt000002/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_wrong_seed3001_attempt000002/run/real-prompt-trace-v1-642_wrong_seed3001_attempt000002/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/642_wrong_seed3001_attempt000002/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,650,650_base,correct,650_correct_seed3012_attempt000013,real-prompt-trace-v1-650_correct_seed3012_attempt000013,650_base_temp08_screen_seed3000_attempt000013,650,142,3012,13,226,124,37,"{""ok"":226}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/650_base/attempt_000013.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_correct_seed3012_attempt000013/run/real-prompt-trace-v1-650_correct_seed3012_attempt000013,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_correct_seed3012_attempt000013/run/real-prompt-trace-v1-650_correct_seed3012_attempt000013/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_correct_seed3012_attempt000013/run/real-prompt-trace-v1-650_correct_seed3012_attempt000013/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/650_correct_seed3012_attempt000013/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,650,650_base,wrong,650_wrong_seed3010_attempt000011,real-prompt-trace-v1-650_wrong_seed3010_attempt000011,650_base_temp08_screen_seed3000_attempt000011,650,142,3010,11,227,124,37,"{""ok"":227}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/650_base/attempt_000011.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_wrong_seed3010_attempt000011/run/real-prompt-trace-v1-650_wrong_seed3010_attempt000011,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_wrong_seed3010_attempt000011/run/real-prompt-trace-v1-650_wrong_seed3010_attempt000011/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_wrong_seed3010_attempt000011/run/real-prompt-trace-v1-650_wrong_seed3010_attempt000011/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/650_wrong_seed3010_attempt000011/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,692,692_base,correct,692_correct_seed3001_attempt000002,real-prompt-trace-v1-692_correct_seed3001_attempt000002,692_base_temp08_screen_seed3000_attempt000002,692,32,3001,2,245,122,41,"{""ok"":245}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/692_base/attempt_000002.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_correct_seed3001_attempt000002/run/real-prompt-trace-v1-692_correct_seed3001_attempt000002,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_correct_seed3001_attempt000002/run/real-prompt-trace-v1-692_correct_seed3001_attempt000002/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_correct_seed3001_attempt000002/run/real-prompt-trace-v1-692_correct_seed3001_attempt000002/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/692_correct_seed3001_attempt000002/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
v1_prior9,692,692_base,wrong,692_wrong_seed3006_attempt000007,real-prompt-trace-v1-692_wrong_seed3006_attempt000007,692_base_temp08_screen_seed3000_attempt000007,692,32,3006,7,243,122,41,"{""ok"":243}",True,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/692_base/attempt_000007.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_wrong_seed3006_attempt000007/run/real-prompt-trace-v1-692_wrong_seed3006_attempt000007,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_wrong_seed3006_attempt000007/run/real-prompt-trace-v1-692_wrong_seed3006_attempt000007/aggregate.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_wrong_seed3006_attempt000007/run/real-prompt-trace-v1-692_wrong_seed3006_attempt000007/per_token_metrics.csv,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/metric_analysis_20260617_real_prompt_9pairs/prefix_audits/692_wrong_seed3006_attempt000007/prefix_view_audit.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json
