wave,prompt_id,fixture,gsm8k_index,expected_answer,correct_name,wrong_name,correct_tokens,wrong_tokens,length_diff,length_ratio,correct_trajectory_json,wrong_trajectory_json,correct_run_root,wrong_run_root,source_pair_manifest,selection_notes
v1_prior9,164,164_base,164,15,164_correct_seed3004_attempt000005,164_wrong_seed3009_attempt000010,162,169,7,1.0432098765432098,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/164_base/attempt_000005.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/164_base/attempt_000010.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_wrong_seed3009_attempt000010/run/real-prompt-trace-v1-164_wrong_seed3009_attempt000010,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,486,486_base,486,6,486_correct_seed3003_attempt000004,486_wrong_seed3000_attempt000001,108,107,1,1.0093457943925233,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/486_base/attempt_000004.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/486_base/attempt_000001.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_correct_seed3003_attempt000004/run/real-prompt-trace-v1-486_correct_seed3003_attempt000004,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/486_wrong_seed3000_attempt000001/run/real-prompt-trace-v1-486_wrong_seed3000_attempt000001,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,642,642_base,642,10800,642_correct_seed3012_attempt000013,642_wrong_seed3001_attempt000002,272,273,1,1.0036764705882353,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/642_base/attempt_000013.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/642_base/attempt_000002.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_correct_seed3012_attempt000013/run/real-prompt-trace-v1-642_correct_seed3012_attempt000013,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/642_wrong_seed3001_attempt000002/run/real-prompt-trace-v1-642_wrong_seed3001_attempt000002,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,650,650_base,650,142,650_correct_seed3012_attempt000013,650_wrong_seed3010_attempt000011,226,227,1,1.0044247787610618,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/650_base/attempt_000013.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/650_base/attempt_000011.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_correct_seed3012_attempt000013/run/real-prompt-trace-v1-650_correct_seed3012_attempt000013,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/650_wrong_seed3010_attempt000011/run/real-prompt-trace-v1-650_wrong_seed3010_attempt000011,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,692,692_base,692,32,692_correct_seed3001_attempt000002,692_wrong_seed3006_attempt000007,245,243,2,1.008230452674897,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/692_base/attempt_000002.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/692_base/attempt_000007.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_correct_seed3001_attempt000002/run/real-prompt-trace-v1-692_correct_seed3001_attempt000002,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/692_wrong_seed3006_attempt000007/run/real-prompt-trace-v1-692_wrong_seed3006_attempt000007,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,709,709_base,709,3000,709_correct_seed3013_attempt000014,709_wrong_seed3012_attempt000013,286,268,18,1.0671641791044777,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/709_base/attempt_000014.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/709_base/attempt_000013.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/709_correct_seed3013_attempt000014/run/real-prompt-trace-v1-709_correct_seed3013_attempt000014,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/709_wrong_seed3012_attempt000013/run/real-prompt-trace-v1-709_wrong_seed3012_attempt000013,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,821,821_base,821,35,821_correct_seed3010_attempt000011,821_wrong_seed3001_attempt000002,128,127,1,1.0078740157480315,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/821_base/attempt_000011.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/821_base/attempt_000002.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/821_correct_seed3010_attempt000011/run/real-prompt-trace-v1-821_correct_seed3010_attempt000011,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/821_wrong_seed3001_attempt000002/run/real-prompt-trace-v1-821_wrong_seed3001_attempt000002,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,830,830_base,830,1128,830_correct_seed3002_attempt000003,830_wrong_seed3001_attempt000002,312,325,13,1.0416666666666667,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/830_base/attempt_000003.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/830_base/attempt_000002.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/830_correct_seed3002_attempt000003/run/real-prompt-trace-v1-830_correct_seed3002_attempt000003,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/830_wrong_seed3001_attempt000002/run/real-prompt-trace-v1-830_wrong_seed3001_attempt000002,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v1_prior9,1031,1031_base,1031,5,1031_correct_seed3011_attempt000012,1031_wrong_seed3004_attempt000005,119,126,7,1.0588235294117647,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/1031_base/attempt_000012.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/samples_temp08_seed3000_attempts16/1031_base/attempt_000005.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/1031_correct_seed3011_attempt000012/run/real-prompt-trace-v1-1031_correct_seed3011_attempt000012,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/1031_wrong_seed3004_attempt000005/run/real-prompt-trace-v1-1031_wrong_seed3004_attempt000005,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/analysis_pair_manifest_20260617_9pairs.json,v1 provisional completed pair
v2_combined10,159,159_base,159,15,159_correct_seed3008_attempt000009,159_wrong_seed3004_attempt000005,116,117,1,1.0086206896551724,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v2/samples_temp08_seed3000_attempts16/159_base/attempt_000009.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v2/samples_temp08_seed3000_attempts16/159_base/attempt_000005.json,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v2/trace_launch_prep_fullseq_wreuse_w1600_combined10/159_correct_seed3008_attempt000009/run/real-prompt-trace-v2-159_correct_seed3008_attempt000009,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v2/trace_launch_prep_fullseq_wreuse_w1600_combined10/159_wrong_seed3004_attempt000005/run/real-prompt-trace-v2-159_wrong_seed3004_attempt000005,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v2/trace_launch_prep_fullseq_wreuse_w1600_combined10/analysis_prefix_role_matched_20260625/analysis_pair_manifest_combined10_20260625.json,real_prompt_screen_v2_combined10
